,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/crib2.jpeg,0.01,bassinet,55.35714286,53.82653061,60.71428571,65.81632653,63.26530612,62.75510204,61.2244898,77.55102041,97.95918367,top5gen/data/crib2.jpeg->bassinet
top5gen/data/crib2.jpeg,0.01,studio couch,58.03571429,54.84693878,62.24489796,64.79591837,67.34693878,66.83673469,59.69387755,87.75510204,97.95918367,top5gen/data/crib2.jpeg->studio couch
top5gen/data/crib2.jpeg,0.01,radiator,56.63265306,54.46428571,55.6122449,59.69387755,64.79591837,62.75510204,59.18367347,73.46938776,95.91836735,top5gen/data/crib2.jpeg->radiator
top5gen/data/crib3.jpeg,0.43,studio couch,60.45918367,59.69387755,72.44897959,68.36734694,66.83673469,70.40816327,62.75510204,93.87755102,100,top5gen/data/crib3.jpeg->studio couch
top5gen/data/crib3.jpeg,0.29,crib,58.92857143,58.67346939,71.93877551,69.89795918,63.26530612,69.89795918,67.85714286,85.71428571,100,top5gen/data/crib3.jpeg->crib
top5gen/data/crib3.jpeg,0.1,quilt,62.11734694,59.43877551,73.46938776,75.51020408,70.91836735,71.93877551,68.36734694,97.95918367,100,top5gen/data/crib3.jpeg->quilt
top5gen/data/crib3.jpeg,0.05,pillow,59.69387755,56.8877551,66.32653061,67.34693878,69.3877551,67.85714286,59.18367347,87.75510204,100,top5gen/data/crib3.jpeg->pillow
top5gen/data/crib3.jpeg,0.05,cradle,56.63265306,57.90816327,67.34693878,69.3877551,63.26530612,66.83673469,66.32653061,87.75510204,100,top5gen/data/crib3.jpeg->cradle
top5gen/data/crib4.jpeg,0.91,bassinet,56.8877551,57.14285714,64.79591837,60.20408163,62.75510204,66.32653061,68.36734694,87.75510204,100,top5gen/data/crib4.jpeg->bassinet
top5gen/data/crib4.jpeg,0.04,cradle,56.12244898,56.8877551,63.26530612,60.20408163,64.79591837,62.75510204,69.3877551,77.55102041,95.91836735,top5gen/data/crib4.jpeg->cradle
top5gen/data/crib4.jpeg,0.03,crib,59.18367347,59.56632653,63.7755102,61.2244898,67.34693878,67.34693878,72.44897959,87.75510204,100,top5gen/data/crib4.jpeg->crib
top5gen/data/crib4.jpeg,0.01,bath towel,56.63265306,58.54591837,67.85714286,67.85714286,70.40816327,72.95918367,67.34693878,97.95918367,100,top5gen/data/crib4.jpeg->bath towel
top5gen/data/crib4.jpeg,0,diaper,56.25,58.41836735,66.32653061,65.30612245,66.32653061,61.73469388,65.81632653,95.91836735,100,top5gen/data/crib4.jpeg->diaper
