,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/coffeepot5.jpeg,0.11,water bottle,0.283333333,0.283333333,0.311111111,0.133333333,0.088888889,0.111111111,0,0.288888889,1,top5gen/data/coffeepot5.jpeg->water bottle
top5gen/data/coffeepot5.jpeg,0.11,water jug,0.052631579,0.101973684,0.197368421,0.263157895,0.078947368,0,0.013157895,0.263157895,1,top5gen/data/coffeepot5.jpeg->water jug
top5gen/data/coffeepot5.jpeg,0.1,milk can,0.0525,0.105,0.21,0.12,0.1,0,0.1,0.36,1,top5gen/data/coffeepot5.jpeg->milk can
top5gen/data/coffeepot5.jpeg,0.06,coffeepot,0.132978723,0.20212766,0.404255319,0.042553191,0.191489362,0,0.234042553,0.404255319,1,top5gen/data/coffeepot5.jpeg->coffeepot
top5gen/data/coffeepot5.jpeg,0.03,ashcan,0.166666667,0.222222222,0.388888889,0.25,0.222222222,0.125,0,0.333333333,1,top5gen/data/coffeepot5.jpeg->ashcan
top5gen/data/crib1.jpeg,0.44,crib,0.086834734,0,0.12605042,0.12605042,0.193277311,0.215686275,0.305322129,0.507002801,1,top5gen/data/crib1.jpeg->crib
top5gen/data/crib1.jpeg,0.07,cradle,0.01744186,0,0.139534884,0.034883721,0.081395349,0.151162791,0.220930233,0.348837209,1,top5gen/data/crib1.jpeg->cradle
top5gen/data/crib1.jpeg,0.07,seat belt,0.002849003,0,0.213675214,0.179487179,0.088319088,0.282051282,0.259259259,0.817663818,1,top5gen/data/crib1.jpeg->seat belt
top5gen/data/crib1.jpeg,0.04,neck brace,0.016666667,0,0.088888889,0.044444444,0.133333333,0.055555556,0.122222222,0.733333333,1,top5gen/data/crib1.jpeg->neck brace
top5gen/data/crib1.jpeg,0.03,nipple,0.102564103,0,0.316239316,0.168091168,0.156695157,0.179487179,0.111111111,0.498575499,1,top5gen/data/crib1.jpeg->nipple
top5gen/data/crib2.jpeg,0.6,crib,0.018072289,0,0.180722892,0.240963855,0.301204819,0.289156627,0.240963855,0.56626506,1,top5gen/data/crib2.jpeg->crib
top5gen/data/crib2.jpeg,0.34,cradle,0.073239437,0,0.2,0.256338028,0.256338028,0.245070423,0.267605634,0.549295775,1,top5gen/data/crib2.jpeg->cradle
top5gen/data/crib2.jpeg,0.01,bassinet,0.034682081,0,0.156069364,0.271676301,0.213872832,0.202312139,0.167630058,0.537572254,1,top5gen/data/crib2.jpeg->bassinet
top5gen/data/crib2.jpeg,0.01,studio couch,0.073964497,0,0.171597633,0.230769231,0.289940828,0.278106509,0.112426036,0.763313609,1,top5gen/data/crib2.jpeg->studio couch
top5gen/data/crib2.jpeg,0.01,radiator,0.052307692,0,0.027692308,0.126153846,0.249230769,0.2,0.113846154,0.458461538,1,top5gen/data/crib2.jpeg->radiator
top5gen/data/crib3.jpeg,0.43,studio couch,0.018987342,0,0.316455696,0.215189873,0.17721519,0.265822785,0.075949367,0.848101266,1,top5gen/data/crib3.jpeg->studio couch
top5gen/data/crib3.jpeg,0.29,crib,0.00617284,0,0.320987654,0.271604938,0.111111111,0.271604938,0.222222222,0.654320988,1,top5gen/data/crib3.jpeg->crib
top5gen/data/crib3.jpeg,0.1,quilt,0.066037736,0,0.34591195,0.396226415,0.283018868,0.308176101,0.220125786,0.949685535,1,top5gen/data/crib3.jpeg->quilt
top5gen/data/crib3.jpeg,0.05,pillow,0.065088757,0,0.218934911,0.24260355,0.289940828,0.25443787,0.053254438,0.715976331,1,top5gen/data/crib3.jpeg->pillow
top5gen/data/crib3.jpeg,0.05,cradle,0,0.029411765,0.247058824,0.294117647,0.152941176,0.235294118,0.223529412,0.717647059,1,top5gen/data/crib3.jpeg->cradle
top5gen/data/crib4.jpeg,0.91,bassinet,0,0.00591716,0.183431953,0.076923077,0.136094675,0.218934911,0.266272189,0.715976331,1,top5gen/data/crib4.jpeg->bassinet
top5gen/data/crib4.jpeg,0.04,cradle,0,0.019230769,0.179487179,0.102564103,0.217948718,0.166666667,0.333333333,0.538461538,1,top5gen/data/crib4.jpeg->cradle
top5gen/data/crib4.jpeg,0.03,crib,0,0.009375,0.1125,0.05,0.2,0.2,0.325,0.7,1,top5gen/data/crib4.jpeg->crib
top5gen/data/crib4.jpeg,0.01,bath towel,0,0.044117647,0.258823529,0.258823529,0.317647059,0.376470588,0.247058824,0.952941176,1,top5gen/data/crib4.jpeg->bath towel
top5gen/data/crib4.jpeg,0,diaper,0,0.049562682,0.2303207,0.206997085,0.2303207,0.125364431,0.218658892,0.906705539,1,top5gen/data/crib4.jpeg->diaper
top5gen/data/crib5.jpeg,0.96,crib,0.028818444,0,0.296829971,0.216138329,0.239193084,0.331412104,0.250720461,0.585014409,1,top5gen/data/crib5.jpeg->crib
top5gen/data/crib5.jpeg,0.03,cradle,0.083798883,0,0.284916201,0.251396648,0.229050279,0.296089385,0.184357542,0.597765363,1,top5gen/data/crib5.jpeg->cradle
top5gen/data/crib5.jpeg,0,quilt,0.00862069,0.020114943,0.24137931,0.206896552,0.103448276,0.183908046,0,0.770114943,1,top5gen/data/crib5.jpeg->quilt
top5gen/data/crib5.jpeg,0,bassinet,0.005747126,0,0.195402299,0.183908046,0.126436782,0.195402299,0.114942529,0.724137931,1,top5gen/data/crib5.jpeg->bassinet
top5gen/data/crib5.jpeg,0,pillow,0.072916667,0.034722222,0.194444444,0.055555556,0.111111111,0.083333333,0,0.444444444,1,top5gen/data/crib5.jpeg->pillow
top5gen/data/cucumber1.jpeg,0.92,cucumber,0.111842105,0.098684211,0.644736842,0.473684211,0.460526316,0.5,0.302631579,0,1,top5gen/data/cucumber1.jpeg->cucumber
top5gen/data/cucumber1.jpeg,0.07,zucchini,0.0625,0.032894737,0.447368421,0.434210526,0.421052632,0.460526316,0.394736842,0,1,top5gen/data/cucumber1.jpeg->zucchini
top5gen/data/cucumber1.jpeg,0,spaghetti squash,0.072916667,0.048611111,0.361111111,0.402777778,0.416666667,0.402777778,0.291666667,0,1,top5gen/data/cucumber1.jpeg->spaghetti squash
top5gen/data/cucumber1.jpeg,0,leafhopper,0,0,0.211072664,0.224913495,0.169550173,0.169550173,0.07266436,0.224913495,1,top5gen/data/cucumber1.jpeg->leafhopper
top5gen/data/cucumber1.jpeg,0,fig,0.06993007,0,0.384615385,0.454545455,0.482517483,0.426573427,0.272727273,0.272727273,1,top5gen/data/cucumber1.jpeg->fig
top5gen/data/cucumber2.jpeg,0.73,cucumber,0.091176471,0,0.094117647,0.211764706,0.176470588,0.058823529,0.282352941,0.388235294,1,top5gen/data/cucumber2.jpeg->cucumber
top5gen/data/cucumber2.jpeg,0.27,zucchini,0.081395349,0,0.139534884,0.151162791,0.069767442,0.093023256,0.279069767,0.441860465,1,top5gen/data/cucumber2.jpeg->zucchini
top5gen/data/cucumber2.jpeg,0,bell pepper,0.059561129,0,0.222570533,0.172413793,0.172413793,0.047021944,0.335423197,0.448275862,1,top5gen/data/cucumber2.jpeg->bell pepper
top5gen/data/cucumber2.jpeg,0,acorn squash,0.104651163,0,0.093023256,0.081395349,0.069767442,0.069767442,0.325581395,0.488372093,1,top5gen/data/cucumber2.jpeg->acorn squash
top5gen/data/cucumber2.jpeg,0,spaghetti squash,0.070588235,0.017647059,0.164705882,0.023529412,0.058823529,0,0.305882353,0.388235294,1,top5gen/data/cucumber2.jpeg->spaghetti squash
top5gen/data/cucumber3.jpeg,0.97,cucumber,0.061371841,0,0.393501805,0.379061372,0.306859206,0.23465704,0.321299639,0.19133574,1,top5gen/data/cucumber3.jpeg->cucumber
top5gen/data/cucumber3.jpeg,0.03,zucchini,0.030959752,0,0.294117647,0.256965944,0.232198142,0.182662539,0.244582043,0.108359133,1,top5gen/data/cucumber3.jpeg->zucchini
top5gen/data/cucumber3.jpeg,0,ear,0.059233449,0,0.3728223,0.219512195,0.191637631,0.289198606,0.149825784,0.219512195,1,top5gen/data/cucumber3.jpeg->ear
top5gen/data/cucumber3.jpeg,0,spaghetti squash,0.06097561,0,0.341463415,0.353658537,0.317073171,0.268292683,0.37804878,0.219512195,1,top5gen/data/cucumber3.jpeg->spaghetti squash
top5gen/data/cucumber3.jpeg,0,acorn squash,0.065625,0,0.275,0.2125,0.1875,0.15,0.175,0.25,1,top5gen/data/cucumber3.jpeg->acorn squash
top5gen/data/cucumber4.jpeg,0.86,cucumber,0.072625698,0,0.38547486,0.340782123,0.418994413,0.351955307,0.273743017,0.240223464,1,top5gen/data/cucumber4.jpeg->cucumber
top5gen/data/cucumber4.jpeg,0.13,zucchini,0.057142857,0,0.3,0.314285714,0.371428571,0.328571429,0.328571429,0.428571429,1,top5gen/data/cucumber4.jpeg->zucchini
top5gen/data/cucumber4.jpeg,0,spaghetti squash,0.029850746,0,0.319402985,0.295522388,0.355223881,0.235820896,0.140298507,0.235820896,1,top5gen/data/cucumber4.jpeg->spaghetti squash
top5gen/data/cucumber4.jpeg,0,slug,0.078534031,0,0.319371728,0.392670157,0.434554974,0.445026178,0.235602094,0.832460733,1,top5gen/data/cucumber4.jpeg->slug
top5gen/data/cucumber4.jpeg,0,lacewing,0.011461318,0,0.037249284,0.151862464,0.243553009,0.209169054,0.163323782,0.404011461,1,top5gen/data/cucumber4.jpeg->lacewing
top5gen/data/cucumber5.jpeg,0.86,zucchini,0.3125,0.270833333,0.44047619,0.511904762,0.547619048,0.607142857,0.547619048,0,1,top5gen/data/cucumber5.jpeg->zucchini
top5gen/data/cucumber5.jpeg,0.14,cucumber,0.221153846,0.170673077,0.298076923,0.442307692,0.538461538,0.548076923,0.384615385,0,1,top5gen/data/cucumber5.jpeg->cucumber
top5gen/data/cucumber5.jpeg,0,sea cucumber,0.200657895,0.194078947,0.342105263,0.315789474,0.473684211,0.539473684,0.263157895,0,1,top5gen/data/cucumber5.jpeg->sea cucumber
top5gen/data/cucumber5.jpeg,0,eel,0.032967033,0,0.230769231,0.274725275,0.538461538,0.538461538,0.450549451,0.032967033,1,top5gen/data/cucumber5.jpeg->eel
top5gen/data/cucumber5.jpeg,0,beer bottle,0.450819672,0.479508197,0.770491803,0.803278689,1,0.852459016,0.836065574,0,0.983606557,top5gen/data/cucumber5.jpeg->beer bottle
top5gen/data/dog_cat.jpeg,0.48,Labrador retriever,0.052325581,0,0.127906977,0.197674419,0.162790698,0.11627907,0.313953488,0.76744186,1,top5gen/data/dog_cat.jpeg->Labrador retriever
top5gen/data/dog_cat.jpeg,0.36,golden retriever,0,0.055393586,0.183673469,0.300291545,0.265306122,0.113702624,0.27696793,0.533527697,1,top5gen/data/dog_cat.jpeg->golden retriever
top5gen/data/dog_cat.jpeg,0.06,kuvasz,0,0.06884058,0.260869565,0.47826087,0.405797101,0.246376812,0.304347826,0.884057971,1,top5gen/data/dog_cat.jpeg->kuvasz
